EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,Birthorder,Extraversion,Childrenhad,Birthdayorderratio
3,1,3,2,2,2,3,1,2,1,2,2,2,1
1,0,3,1,1,1,1,0,3,0,1,1.1,3,0.333333333
3,1,3,1,2,2,2,0,1,0,1,1.5,2,0.5
1,1,2,0,1,3,1,0,1,0,1,1,3,0.333333333
4,3,3,2,3,3,4,1,4,0,1,2.7,3,0.333333333
3,2,4,2,4,2,3,0,3,1,1,2.4,2,0.5
1,1,4,1,3,3,1,0,1,2,1,1.7,3,0.333333333
5,3,4,4,4,4,5,4,5,4,1,4.2,2,0.5
1,0,2,0,1,0,1,0,1,0,2,0.6,2,1
1,0,1,1,2,1,2,3,2,1,1,1.4,2,0.5
3,2,3,2,3,3,4,0,3,2,3,2.5,7,0.428571429
3,4,5,2,4,4,4,1,1,2,3,3,3,1
1,0,3,2,1,0,1,1,5,0,1,1.4,3,0.333333333
0,1,4,2,4,1,2,2,4,1,1,2.1,2,0.5
3,2,3,2,3,2,3,2,3,2,2,2.5,2,1
4,4,4,4,5,4,5,3,4,4,2,4.1,2,1
2,3,4,4,5,3,4,3,4,4,1,3.6,2,0.5
4,4,4,1,3,4,3,0,3,0,4,2.6,4,1
3,3,3,2,4,4,3,3,3,1,3,2.9,3,1
2,2,4,1,2,2,2,1,2,1,2,1.9,2,1
3,2,3,2,4,4,3,1,2,3,1,2.7,3,0.333333333
4,4,2,3,2,4,2,1,4,1,1,2.7,2,0.5
2,1,4,1,3,1,3,0,3,2,1,2,3,0.333333333
3,4,3,2,3,4,3,2,3,2,1,2.9,1,1
4,2,4,3,4,3,4,2,4,2,1,3.2,2,0.5
1,0,1,0,1,0,1,0,2,0,3,0.6,3,1
3,3,5,2,4,3,2,1,5,2,2,3,4,0.5
4,2,4,4,4,1,5,1,3,1,1,2.9,2,0.5
3,1,4,3,1,2,2,0,3,1,1,2,3,0.333333333
4,3,4,3,5,3,4,2,4,3,2,3.5,2,1
1,0,3,0,1,0,1,0,1,0,1,0.7,1,1
1,3,4,3,4,3,2,2,2,3,1,2.7,1,1
3,3,3,2,3,3,1,1,3,0,3,2.2,3,1
1,4,3,1,4,3,1,1,2,1,3,2.1,6,0.5
3,3,3,3,4,3,4,2,4,2,1,3.1,1,1
1,2,2,1,2,2,1,0,2,1,1,1.4,3,0.333333333
3,0,3,1,2,1,2,1,2,1,1,1.6,2,0.5
3,2,2,2,3,2,3,1,2,1,2,2.1,2,1
3,3,5,1,3,2,3,1,2,2,2,2.5,2,1
4,2,4,2,4,2,4,2,4,3,2,3.1,4,0.5
3,1,3,0,2,1,4,2,4,2,4,2.2,4,1
4,4,4,4,4,4,4,3,5,1,2,3.7,2,1
3,3,4,3,4,3,3,1,4,3,4,3.1,5,0.8
3,0,3,0,4,4,1,3,5,3,2,2.6,2,1
2,2,3,1,4,4,4,1,4,1,1,2.6,2,0.5
2,2,2,1,4,4,1,2,2,2,1,2.2,2,0.5
2,1,4,1,4,3,3,1,4,0,1,2.3,2,0.5
1,1,2,0,1,1,1,0,3,1,3,1.1,3,1
1,0,3,0,1,0,1,1,2,0,2,0.9,3,0.666666667
2,3,3,1,3,4,1,0,1,0,1,1.8,3,0.333333333
1,4,3,2,4,4,2,2,3,1,4,2.6,4,1
4,4,4,3,4,3,4,3,3,3,2,3.5,2,1
1,2,2,1,1,0,1,0,1,0,2,0.9,3,0.666666667
3,4,5,5,4,4,3,3,5,3,1,3.9,1,1
5,4,4,4,4,4,3,3,3,3,1,3.7,3,0.333333333
2,2,4,2,4,3,2,1,2,1,1,2.3,2,0.5
1,4,4,1,5,4,2,1,2,3,1,2.7,3,0.333333333
3,1,2,2,2,3,2,2,3,0,1,2,2,0.5
2,2,4,1,2,3,1,1,2,0,1,1.8,2,0.5
2,0,4,4,2,1,4,1,3,2,3,2.3,3,1
4,4,5,3,4,4,4,4,4,4,2,4,2,1
2,3,2,2,4,3,2,3,5,3,1,2.9,1,1
1,2,3,0,4,4,1,0,1,0,1,1.6,1,1
4,4,5,2,5,4,5,2,4,4,2,3.9,4,0.5
1,0,1,0,3,0,1,0,3,0,1,0.9,4,0.25
4,1,3,1,2,3,5,1,5,3,10,2.8,10,1
3,3,4,3,4,4,2,3,4,3,1,3.3,7,0.142857143
1,0,1,0,3,1,1,0,1,0,1,0.8,2,0.5
5,4,5,4,5,2,5,4,4,4,1,4.2,2,0.5
4,3,3,2,3,2,3,3,2,2,1,2.7,3,0.333333333
5,4,5,4,5,4,5,3,4,4,1,4.3,2,0.5
4,3,3,2,4,3,4,2,3,2,1,3,2,0.5
1,1,3,1,4,3,2,0,1,0,1,1.6,1,1
3,2,4,4,5,4,4,1,5,2,5,3.4,6,0.833333333
2,2,3,2,2,2,1,1,3,0,4,1.8,4,1
2,3,4,3,4,3,3,0,2,1,1,2.5,1,1
1,2,1,1,2,4,1,0,1,0,3,1.3,3,1
5,4,5,4,5,4,5,4,5,4,1,4.5,2,0.5
3,3,4,1,4,3,4,1,2,0,2,2.5,3,0.666666667
3,2,4,1,5,3,4,4,2,3,1,3.1,2,0.5
1,2,1,1,1,1,1,3,2,0,1,1.3,2,0.5
1,1,5,0,2,3,1,0,1,0,1,1.4,4,0.25
1,0,2,0,1,0,1,1,3,0,1,0.9,1,1
1,0,1,0,1,0,1,0,1,0,3,0.5,4,0.75
1,1,3,1,3,4,2,4,2,0,1,2.1,3,0.333333333
1,0,2,0,2,2,1,0,2,0,1,1,1,1
2,2,1,4,1,1,1,0,1,0,2,1.3,2,1
4,2,4,1,2,4,3,3,4,1,3,2.8,5,0.6
1,0,1,0,5,4,1,1,1,3,3,1.7,5,0.6
3,3,5,3,4,4,3,1,4,2,1,3.2,2,0.5
3,4,4,3,5,4,4,2,3,3,2,3.5,3,0.666666667
1,1,2,1,1,1,1,0,1,0,1,0.9,1,1
1,0,3,0,3,2,4,2,5,2,1,2.2,2,0.5
1,4,3,0,5,4,1,0,2,2,1,2.2,2,0.5
1,1,2,0,2,1,1,1,2,0,3,1.1,3,1
2,1,2,1,3,3,1,1,2,1,3,1.7,3,1
1,0,2,0,1,0,2,0,2,0,1,0.8,1,1
4,4,4,4,5,4,3,2,4,3,1,3.7,3,0.333333333
1,0,2,0,1,0,2,0,1,0,1,0.7,2,0.5
1,1,4,2,2,2,2,1,1,1,1,1.7,2,0.5
1,1,3,0,2,1,1,1,1,0,2,1.1,2,1
2,2,2,3,2,3,1,3,3,0,2,2.1,2,1
3,3,4,2,3,3,3,3,2,2,1,2.8,3,0.333333333
1,1,2,0,2,0,2,0,1,0,3,0.9,3,1
1,0,3,0,1,3,1,0,1,0,2,1,3,0.666666667
4,1,2,1,1,1,1,2,4,0,2,1.7,2,1
4,2,5,2,3,4,4,2,3,2,1,3.1,6,0.166666667
3,1,2,1,1,3,2,0,2,1,1,1.6,2,0.5
3,3,4,4,2,4,3,2,3,2,1,3,2,0.5
3,1,2,2,3,2,2,2,3,2,4,2.2,4,1
1,0,2,0,2,0,1,0,1,0,1,0.7,3,0.333333333
5,5,4,4,4,4,4,4,4,3,2,4.1,3,0.666666667
3,2,4,2,4,3,3,2,4,0,2,2.7,2,1
1,2,2,1,2,3,1,0,1,0,5,1.3,6,0.833333333
2,4,3,2,5,4,1,2,4,0,1,2.7,3,0.333333333
2,4,3,2,4,3,4,1,2,2,2,2.7,3,0.666666667
4,4,5,4,4,4,3,4,5,0,1,3.7,1,1
4,4,5,3,5,4,5,2,4,3,1,3.9,2,0.5
1,2,1,1,1,2,1,0,1,0,2,1,2,1
4,3,5,4,4,4,5,4,5,2,2,4,2,1
2,3,4,1,3,2,3,3,2,1,1,2.4,1,1
1,0,1,0,1,0,1,0,1,0,1,0.5,3,0.333333333
4,3,4,3,4,4,4,3,5,2,1,3.6,2,0.5
1,0,3,1,4,1,1,1,2,2,2,1.6,2,1
4,4,4,1,3,3,1,3,3,0,1,2.6,3,0.333333333
4,2,3,3,4,2,3,3,4,1,3,2.9,3,1
1,1,1,1,1,3,1,1,4,0,1,1.4,3,0.333333333
3,0,5,3,5,0,1,0,5,0,2,2.2,2,1
4,4,4,4,5,4,4,2,4,3,1,3.8,3,0.333333333
3,1,3,2,3,3,5,2,5,3,1,3,2,0.5
1,0,2,0,2,1,1,0,1,0,1,0.8,3,0.333333333
2,1,2,1,3,3,2,1,3,1,2,1.9,2,1
3,2,1,3,3,4,2,0,3,2,2,2.3,3,0.666666667
1,3,2,1,1,2,1,0,1,0,1,1.2,6,0.166666667
2,2,1,1,2,3,1,0,2,0,2,1.4,2,1
3,4,4,2,4,3,3,0,1,2,3,2.6,4,0.75
2,2,4,1,4,1,3,2,2,0,4,2.1,4,1
1,0,1,0,1,3,1,0,1,0,2,0.8,3,0.666666667
2,1,2,0,4,4,3,2,3,1,1,2.2,2,0.5
2,1,4,1,2,1,2,3,2,1,2,1.9,4,0.5
5,3,4,4,5,4,5,1,5,0,3,3.6,3,1
2,1,4,2,4,3,4,3,2,1,1,2.6,2,0.5
2,2,4,2,3,3,4,0,2,1,1,2.3,2,0.5
5,4,5,3,5,4,5,4,5,3,4,4.3,4,1
5,3,4,3,5,3,5,3,5,3,1,3.9,3,0.333333333
4,3,3,1,4,2,3,0,2,0,2,2.2,2,1
3,2,3,2,3,1,4,2,3,2,3,2.5,3,1
2,1,2,0,2,3,2,1,4,0,2,1.7,2,1
3,2,4,2,4,0,3,1,3,3,1,2.5,2,0.5
3,0,3,0,3,0,1,0,1,0,2,1.1,4,0.5
2,2,3,1,4,2,3,2,4,1,2,2.4,2,1
1,2,5,0,1,2,1,2,3,0,3,1.7,4,0.75
1,0,5,0,1,3,1,0,1,0,1,1.2,2,0.5
1,1,1,1,2,3,1,1,2,0,1,1.3,3,0.333333333
2,0,2,1,1,1,1,0,1,0,1,0.9,2,0.5
1,0,1,1,1,4,1,0,1,0,1,1,1,1
1,0,1,0,1,0,1,0,1,0,2,0.5,2,1
2,1,3,1,2,1,2,1,3,0,2,1.6,3,0.666666667
3,2,3,1,3,3,1,1,2,1,1,2,2,0.5
3,2,4,2,4,3,4,1,4,3,5,3,5,1
4,2,3,3,2,1,3,2,2,2,1,2.4,2,0.5
2,3,5,3,4,4,2,1,4,0,2,2.8,2,1
